"NOMBDIST","year","month","falciparum","vivax","aet","prcp","q","soilm","tmax","tmin","water_deficit","loss","loss_km2","cum_loss_km2","diag","enviro","nets","workers","pamafro","pop2015","NOMBPROV","NOMBDEP","IDDIST"
"CONTAMANA",2014,2,0,0,68.1998072497418,79.2911368059515,13.198843923837,185.092871164311,31.6457225343855,20.3971676872415,1.22447013642517,27332417.6077409,27.3324176077409,249.717760210972,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2014,3,0,2,81.3949902190868,210.93622323038,127.434874834123,187.199807374693,31.6628901163737,20.2006358291832,0,27332417.6077409,27.3324176077409,249.717760210972,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2014,4,0,0,81.8880539381435,366.840654906051,284.95317909667,187.199807374693,31.58421964039,20.5476108084295,0,27332417.6077409,27.3324176077409,249.717760210972,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2014,5,0,1,81.0959536749044,87.3605011295032,11.5017340904486,181.96127166454,32.1163198033739,20.4675530192939,3.04971099109434,27332417.6077409,27.3324176077409,249.717760210972,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2014,6,0,1,78.8834295695457,204.392485102247,120.270712766114,187.199807374693,32.6642966408261,20.2082273927957,0,27332417.6077409,27.3324176077409,249.717760210972,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2014,7,0,0,80.799036514782,82.3965318639384,8.70905586520142,180.087475903461,32.1498265385857,18.9482851285696,4.13911367377162,27332417.6077409,27.3324176077409,249.717760210972,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2014,8,0,1,101.673988489287,114.647784194505,13.0809249078607,179.981888552392,32.9867244272103,19.1676493591426,0.794026974524032,27332417.6077409,27.3324176077409,249.717760210972,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2014,9,0,0,89.6710984187778,59.59922924299,2.9826589588485,146.93526033905,33.4499806714655,20.1359152068063,20.671676297638,27332417.6077409,27.3324176077409,249.717760210972,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2014,10,0,0,109.535452811475,213.447784379728,65.4782273672909,185.368015473059,32.8580925193596,20.4083622140462,0.00366088633133037,27332417.6077409,27.3324176077409,249.717760210972,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
"CONTAMANA",2014,11,0,0,93.0793835707942,277.826782373564,182.915414339775,187.199807374693,32.451599304846,20.5789595293402,0,27332417.6077409,27.3324176077409,249.717760210972,0,0,0,0,0,27273,"UCAYALI","LORETO","160601"
